Nombre,Cantidad de Redes Sociales
Algeria,3
Armenia,3
Australia,2
Austria,3
Azerbaijan,3
Barbados,1
Belgium,6
Bolivia,1
Brazil,3
Bulgaria,2
Canada,5
Chile,3
Colombia,1
Costa Rica,1
Cuba,1
Czechia,2
Denmark,1
Dominican Republic,1
Ecuador,3
"Egypt, Arab Rep.",3
El Salvador,3
Ethiopia,2
Finland,2
France,2
Germany,2
Greece,2
Hungary,1
India,3
Ireland,2
Israel,2
Italy,4
Jamaica,2
Japan,1
Kenya,2
"Korea, Rep.",2
Kuwait,1
Malaysia,1
Mexico,4
Morocco,2
Mozambique,1
Netherlands,2
Nigeria,2
Norway,2
Pakistan,1
Paraguay,3
Peru,2
Philippines,3
Poland,1
Romania,2
Russian Federation,2
Saudi Arabia,3
Singapore,2
South Africa,3
Spain,4
Sweden,3
Switzerland,4
Thailand,1
Trinidad and Tobago,1
Tunisia,4
Ukraine,2
United Arab Emirates,1
United Kingdom,5
United States,6
Uruguay,3
Viet Nam,2
West Bank and Gaza,1
