País,Sedes,secciones promedio,PBI per Cápita 2022 (U$S)
Brazil,10,2.4,"8917,674911"
Spain,7,1.8571428571428572,"29674,54429"
United States,7,2.857142857142857,"76329,58227"
Chile,5,1.4,"15355,47974"
Uruguay,4,1.75,"20795,04235"
Bolivia,3,1.0,"3600,121635"
Australia,2,1.5,"65099,84591"
Belgium,2,3.5,"49926,82543"
Canada,2,3.5,"54917,66252"
France,2,1.5,"40886,25327"
Germany,2,1.5,"48717,99114"
India,2,3.0,"2410,888021"
Israel,2,1.5,"54930,93881"
Italy,2,3.0,"34776,42323"
Paraguay,2,2.0,"6153,055657"
United Kingdom,2,3.0,"46125,25575"
Algeria,1,3.0,"4342,637968"
Armenia,1,3.0,"7018,051504"
Austria,1,3.0,"52084,6812"
Azerbaijan,1,3.0,"7762,073829"
Barbados,1,1.0,"20238,78424"
Bulgaria,1,2.0,"13974,44925"
Colombia,1,1.0,"6624,165393"
Costa Rica,1,1.0,"13365,3564"
Cuba,1,1.0,"56495,85349"
Czechia,1,2.0,"27223,04519"
Denmark,1,1.0,"67790,05399"
Dominican Republic,1,1.0,"10111,24571"
Ecuador,1,3.0,"6391,282484"
"Egypt, Arab Rep.",1,3.0,"4295,407496"
El Salvador,1,3.0,"5127,321668"
Ethiopia,1,2.0,"1027,585911"
Finland,1,2.0,"50916,28047"
Greece,1,2.0,"20867,26909"
Hungary,1,1.0,"18390,185"
Ireland,1,2.0,"103983,2913"
Jamaica,1,2.0,"6047,216457"
Japan,1,1.0,"33823,57073"
Kenya,1,2.0,"2099,301938"
"Korea, Rep.",1,2.0,"32422,57449"
Kuwait,1,1.0,"41079,5227"
Malaysia,1,1.0,"11993,18761"
Mexico,1,4.0,"11496,52287"
Morocco,1,2.0,"3441,991455"
Mozambique,1,1.0,"558,2986064"
Netherlands,1,2.0,"57025,01246"
Nigeria,1,2.0,"2162,633734"
Norway,1,2.0,"106177,1972"
Pakistan,1,1.0,"1588,879829"
Peru,1,2.0,"7125,829931"
Philippines,1,3.0,"3498,509806"
Poland,1,1.0,"18688,00449"
Romania,1,2.0,"15786,80174"
Russian Federation,1,2.0,"15270,70605"
Saudi Arabia,1,3.0,"30447,88371"
Singapore,1,2.0,"82807,62906"
South Africa,1,3.0,"6766,481254"
Sweden,1,3.0,"56373,78858"
Switzerland,1,4.0,"93259,90572"
Thailand,1,1.0,"6909,956285"
Trinidad and Tobago,1,1.0,"19629,46534"
Tunisia,1,4.0,"3747,419391"
Ukraine,1,2.0,"4533,975586"
United Arab Emirates,1,1.0,"53707,98008"
Viet Nam,1,2.0,"4163,514299"
West Bank and Gaza,1,1.0,"3789,327966"
