sede_id,sede_desc_ingles,pais_iso_3,pais_ingles,ciudad_ingles,estado,sede_tipo
CALEG,Consulate  General  in  PORTO  ALEGRE,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Porto  Alegre,Activo,Consulado
CANTO,Consulate  in  ANTOFAGASTA,CHL,REPUBLIC  OF  CHILE,Antofagasta,Activo,Consulado
CAREN,Consulate  General  in  Punta  Arenas,CHL,REPUBLIC  OF  CHILE,Punta  Arenas,Activo,Consulado
CASUN,Consulate  General  in  Asuncion,PRY,REPUBLIC  OF  PARAGUAY,Asuncion,Activo,Consulado
CATLA,Consulate  General  in  Atlanta,USA,UNITED  STATES  OF  AMERICA,Atlanta,Activo,Consulado
CBARC,Consulate  General  and  Promotion  Center  in  Barcelona,ESP,KINGDOM  OF  SPAIN,Barcelona,Activo,Consulado  General  y  Centro  de  Promoción 
CBEIJ,Consular  Section  in  Beijing,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Beijing,Activo,Consulado
CBELO,Consulate  in  Belo  Horizonte,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Belo  Horizonte,Activo,Consulado
CBONN,Consulate  in  Bonn,DEU,FEDERAL  REPUBLIC  OF  GERMANY,Bonn,Activo,Consulado
CCADI,Consulate  in  Cadiz,ESP,KINGDOM  OF  SPAIN,Cadiz,Activo,Consulado
CCEST,Consulate  General  in  Ciudad  del  Este,PRY,REPUBLIC  OF  PARAGUAY,Ciudad  del  Este,Activo,Consulado
CCHIC,Consulate  General  in  Chicago,USA,UNITED  STATES  OF  AMERICA,Chicago,Activo,Consulado
CCOCH,Consulate  in  Cochabamba,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,Cochabamba,Activo,Consulado
CCOLO,Consulate  in  Colonia,URY,REPUBLIC  OF  URUGUAY,Colonia,Activo,Consulado
CCONC,Consulate  in  Concepcion,CHL,REPUBLIC  OF  CHILE,Concepcion,Activo,Consulado
CCURI,Consulate  in  Curitiba,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Curitiba,Activo,Consulado
CENCA,Consulate  General  in  Encarnacion,PRY,REPUBLIC  OF  PARAGUAY,Encarnacion,Activo,Consulado
CFBEN,Consulate  in  Fray  Bentos,URY,REPUBLIC  OF  URUGUAY,Fray  Bentos,Activo,Consulado
CFDIG,Consulate  in  Foz  do  Iguacu,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Foz  do  Iguacu,Activo,Consulado
CFLOR,Consulate  in  Florianopolis,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Florianopolis,Activo,Consulado
CFRAN,Consulate  General  and  Promotion  Center  in  Frankfurt,DEU,FEDERAL  REPUBLIC  OF  GERMANY,Frankfurt,Activo,Consulado  General  y  Centro  de  Promoción 
CGEST,Consulate  General  and  Promotion  Center  in  Istambul,TUR,REPUBLIC  OF  TÜRKIYE,Istambul,Activo,Consulado  General  y  Centro  de  Promoción 
CGMUM,Consulate  General  and  Promotion  Center  in  Mumbai,IND,REPUBLIC  OF  INDIA,Mumbai,Activo,Consulado  General  y  Centro  de  Promoción 
CGPAZ,Consulate  General  in  La  Paz,BOL,PLURINATIONAL  STATE  OF  BOLIVIA,La  Paz,Activo,Consulado
CGTEL,Consulate  General  in  Tel  Aviv,ISR,STATE  OF  ISRAEL,Tel  Aviv,Activo,Consulado
CGUAN,Consulate  General  in  Guangzhou,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Guangzhou,Activo,Consulado
CGUAY,Consulate  in  Guayaquil,ECU,REPUBLIC  OF  ECUADOR,Guayaquil,Activo,Consulado
CGVAN,Consulate  General  in  Vancouver,CAN,CANADA,Vancouver,Activo,Consulado
CHAMB,Consulate  General  in  Hamburg,DEU,FEDERAL  REPUBLIC  OF  GERMANY,Hamburg,Activo,Consulado
CHONG,Consulate  General  in  Hong  Kong,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Hong  Kong,Activo,Consulado
CHOUS,Consulate  General  in  Houston,USA,UNITED  STATES  OF  AMERICA,Houston,Activo,Consulado
CJOHA,Consulate  General  in  Johannesburg,ZAF,REPUBLIC  OF  SOUTH  AFRICA,Johannesburg,Activo,Consulado
CLANG,Consulate  General  and  Promotion  Center  in  Los  Angeles,USA,UNITED  STATES  OF  AMERICA,Los  Angeles,Activo,Consulado  General  y  Centro  de  Promoción 
CLIMA,Consulate  General  in  Lima,PER,REPUBLIC  OF  PERU,Lima,Activo,Consulado
CLOND,Consulate  General  in  London,GRB,UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,London  ,Activo,Consulado
CMADR,Consulate  General  in  Madrid,ESP,KINGDOM  OF  SPAIN,Madrid,Activo,Consulado
CMALD,Consulate  in  Maldonado,URY,REPUBLIC  OF  URUGUAY,Maldonado,Activo,Consulado
CMALL,Consulate  in  Palma,ESP,KINGDOM  OF  SPAIN,Palma,Activo,Consulado
CMDEO,Consulate  General  in  Montevideo,URY,REPUBLIC  OF  URUGUAY,Montevideo,Activo,Consulado
CMEXI,Consulate  General  in  Mexico,MEX,UNITED  MEXICAN  STATES,Mexico,Activo,Consulado
CMIAM,Consulate  General  and  Promotion  Center  in  Miami,USA,UNITED  STATES  OF  AMERICA,Miami,Activo,Consulado  General  y  Centro  de  Promoción 
CMILA,Consulate  General  and  Promotion  Center  in  Milan,ITA,ITALIAN  REPUBLIC,Milan,Activo,Consulado  General  y  Centro  de  Promoción 
CMREA,Consulate  General  in  Montreal,CAN,CANADA,Montreal,Activo,Consulado
CNYOR,Consulate  General  and  Promotion  Center  in  New  York,USA,UNITED  STATES  OF  AMERICA,New  York,Activo,Consulado  General  y  Centro  de  Promoción 
CPABL,Consulate  General  and  Promotion  Center  in  Sao  Paolo,BRA,FEDERATIVE  REPUBLIC  OF  BRAZIL,Sao  Paolo,Activo,Consulado  General  y  Centro  de  Promoción 
CPAYS,Consulate  in  Paysandu,URY,REPUBLIC  OF  URUGUAY,Paysandu,Activo,Consulado
