Country Code;pbi
AGO;3000,444231
ARE;53707,98008
ARM;7018,051504
AUS;65099,84591
AUT;52084,6812
AZE;7762,073829
BEL;49926,82543
BGD;2688,305501
BGR;13974,44925
BOL;3600,121635
BRA;8917,674911
BRB;20238,78424
CAN;54917,66252
CHE;93259,90572
CHL;15355,47974
CHN;12720,21632
COL;6624,165393
CRI;13365,3564
CUB;56495,85349
CZE;27223,04519
DEU;48717,99114
DNK;67790,05399
DOM;10111,24571
DZA;4342,637968
ECU;6391,282484
EGY;4295,407496
ESP;29674,54429
ETH;1027,585911
FIN;50916,28047
FRA;40886,25327
GBR;46125,25575
GRC;20867,26909
GTM;5473,208564
GUY;18199,47484
HND;3040,173046
HTI;1748,257132
HUN;18390,185
IDN;4787,999308
IND;2410,888021
IRL;103983,2913
IRN;4669,57138
ISR;54930,93881
ITA;34776,42323
JAM;6047,216457
JPN;33823,57073
KEN;2099,301938
KOR;32422,57449
KWT;41079,5227
LBY;6716,095985
LCA;13030,92848
MAR;3441,991455
MEX;11496,52287
MOZ;558,2986064
MYS;11993,18761
NGA;2162,633734
NIC;2255,425995
NLD;57025,01246
NOR;106177,1972
NZL;48418,59166
PAK;1588,879829
PAN;17357,62863
PER;7125,829931
PHL;3498,509806
POL;18688,00449
PRT;24515,26585
PRY;6153,055657
PSE;3789,327966
QAT;87661,45015
ROU;15786,80174
RUS;15270,70605
SAU;30447,88371
SEN;1598,726433
SGP;82807,62906
SLV;5127,321668
SRB;9537,682867
SUR;5858,824661
SWE;56373,78858
THA;6909,956285
TTO;19629,46534
TUN;3747,419391
TUR;10674,50417
UKR;4533,975586
URY;20795,04235
USA;76329,58227
VNM;4163,514299
ZAF;6766,481254
