sede_id,sede_desc_ingles,pais_iso_3,sede_tipo
EANGO,Embassy  in  Angola,AGO,Embajada
EEARB,Embassy  in  the  United  Arab  Emirates,ARE,Embajada
EARME,Embassy  in  Armenia,ARM,Embajada
CSIDN,Consulate  General  in  Sydney,AUS,Consulado
EAUST,Embassy  in  Australia,AUS,Embajada
ETRIA,Embassy  in  Austria,AUT,Embajada
EAZER,Embassy  in  Azerbaijan,AZE,Embajada
EBELG,Embassy  in  Belgium,BEL,Embajada
ECEUR,Embassy  to  the  European  Union,BEL,Misión  Permanente
EBANG,Embassy  in  Bangladesh,BGD,Embajada
EBULG,Embassy  in  Bulgaria,BGR,Embajada
CCOCH,Consulate  in  Cochabamba,BOL,Consulado
CGPAZ,Consulate  General  in  La  Paz,BOL,Consulado
CSCRS,Consulate  General  and  Promotion  Center  in  Santa  Cruz,BOL,Consulado  General  y  Centro  de  Promoción
CTARI,Consulate  General  in  Tarija,BOL,Consulado
CVILL,Consulate  in  Villazon,BOL,Consulado
CYACU,Consulate  in  Yacuiba,BOL,Consulado
EBOLV,Embassy  in  Bolivia,BOL,Embajada
CALEG,Consulate  General  in  PORTO  ALEGRE,BRA,Consulado
CBELO,Consulate  in  Belo  Horizonte,BRA,Consulado
CCURI,Consulate  in  Curitiba,BRA,Consulado
CFDIG,Consulate  in  Foz  do  Iguacu,BRA,Consulado
CFLOR,Consulate  in  Florianopolis,BRA,Consulado
CPABL,Consulate  General  and  Promotion  Center  in  Sao  Paolo,BRA,Consulado  General  y  Centro  de  Promoción
CRECI,Consulate  in  Recife,BRA,Consulado
CRIOJ,Consulate  General  in  Rio  de  Janeiro,BRA,Consulado
CSBAH,Consulate  in  Sao  Salvador  de  Bahia,BRA,Consulado
CURUG,Consulate  in  Uruguayana,BRA,Consulado
EBRAS,Embassy  in  Brazil,BRA,Embajada
EBARB,Embassy  in  Barbados,BRB,Embajada
CGVAN,Consulate  General  in  Vancouver,CAN,Consulado
CMREA,Consulate  General  in  Montreal,CAN,Consulado
CTORO,Consulate  General  in  Toronto,CAN,Consulado
ECANA,Embassy  in  Canada,CAN,Embajada
EOIRS,Permanent  Mission  to  the  International  Organisations  in  Geneve,CHE,Misión  Permanente
ESUIZ,Embassy  in  Switzerland,CHE,Embajada
CANTO,Consulate  in  ANTOFAGASTA,CHL,Consulado
CAREN,Consulate  General  in  Punta  Arenas,CHL,Consulado
CCONC,Consulate  in  Concepcion,CHL,Consulado
CPMON,Consulate  in  Puerto  Montt,CHL,Consulado
CSIGO,Consulate  General  in  Santiago,CHL,Consulado
CVALP,Consulate  General  in  Valparaiso,CHL,Consulado
EHILE,Embassy  in  Chile,CHL,Embajada
