sede_id,sede_desc_castellano
CBARC,Sección  Administrativa
CBARC,"Sección  Comercial, Turismo  e  Inversiones"
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas)
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales)
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias)
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales"
CCHIC,Sección  Consular
CCHIC,Sección  Económica  y  Comercial
CFRAN,Sección  Administrativa
CFRAN,Sección  Consular
CFRAN,Sección  Cultural
CFRAN,Sección  Económica  y  Comercial
CGMUM,Sección  Consular
CGMUM,Sección  de  Administración
CGMUM,Sección  Económica  y  Comercial
CGTEL,Sección  Administrativa
CGTEL,Sección  Consular
CGUAY,AGREGADO  CONSULAR
CGUAY,CONSULAR
CHONG,Asuntos  Consulares
CHONG,Sección  Económica-Comercial
CMIAM,Cónsul  General  Adjunto
CMIAM,Sección  Administración
CMIAM,Sección  Comercial  e  Inversiones
CMIAM,Sección  Consular  (Documentación)
CMIAM,Sección  Consular  (Notariales)
CMIAM,Sección  Consular  (Trámites  generales)
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos)
CMIAM,Sección  Cultural
CMILA,Sección  Administrativa  -  Titular:  
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari
CNYOR,Administración
CNYOR,Asistencia  a  Argentinos  en  el  Exterior
CNYOR,Comunidad  argentina  y  diplomacia  pública
CNYOR,Promoción  Cultural
CNYOR,Sección  Consular
CNYOR,Sección  Económica  y  Comercial
CNYOR,Sección  Notarial
CNYOR,Turismo
CNYOR,Visas
CPABL,Sección  Consular
CPCAR,Cónsul  Adjunto
CRECI,Sección  Administrativa  y  Contable
CRECI,Sección  Consular
CRECI,Sección  Cultural  
CRECI,Sección  Económica  y  Comercial
CRECI,Sección  Prensa
CRIOJ,Sección  Consular
CRIOJ,Sección  Cultural
CRIOJ,Sección  Económica  y  Comercial
CRIOJ,Sección  Turismo
CSCRS,Sección  Administrativa
CSCRS,Sección  Consular
CSCRS,Seccion  Cultural
CSCRS,Sección  Económica  y  Comercial
CSHAN,Sección  Consular
CSHAN,Sección  Cultural  
CSHAN,Sección  Deportiva
CSHAN,Sección  Económica  y  Comercial
CSHAN,Sección  Educativa
CSHAN,Sección  Prensa
CSHAN,Sección  Turismo
CSIDN,Sección  Administrativa
CSIDN,Sección  Comercial  y  Cultural
CSIDN,Sección  Consular
CTORO,SECCION  CONSULAR
CTORO,SECCION  CULTURAL
CTORO,SECCION  ECONOMICA  Y  COMERCIAL
CURUG,Sección  Comercial
CVIGO,Sección  Consular
CVIGO,Sección  Cultural
CVIGO,Sección  Económica  y  Comercial
DITIC,nueva
DITIC,Sección  prueba
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EALEM,Jefa  de  Cancillería
